Comment,Footprint,Designator,JLCPCB Part #（optional )
"D_Small","D_SOD-123","D89,D6,D2,D109,D72,D52,D12,D8,D7,D32,D61,D104,D99,D105,D70,D48,D74,D93,D75,D20,D87,D40,D63,D28,D25,D96,D29,D80,D43,D65,D73,D35,D60,D59,D102,D100,D19,D42,D97,D84,D81,D106,D27,D53,D82,D57,D16,D45,D54,D49,D86,D41,D85,D46,D68,D103,D33,D91,D51,D55,D31,D66,D92,D79,D67,D50,D98,D23,D34,D107,D101,D1,D36,D30,D26,D108,D24,D22,D83,D47,D78,D69,D44,D39,D21,D62,D64,D88","C81598"
"Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","J3,J2","C160404"
"XC6206P332MR","SOT-23_Handsoldering","U1","C479053"
"1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C8,C3,C20,C2","C28323"
"Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","FB1","C1015"
"100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C14,C12,C13,C10,C19,C11"
"SW_Push","SKQG-1155865","SW1","C318884"
"Q_NMOS_GSD 2N7002","SOT-23","Q3,Q2","C8545"
"0.1uF","C_0805_2012Metric","C18,C17,C16,C21","C49678"
"Q_PMOS_GSD AO3401A","SOT-23","Q1","C700954"
"2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R9,R2,R8,R11,R10"
"4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15,C22"
"10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1"
"24LC64","SOIC-8_3.9x4.9mm_P1.27mm","U4"
"390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R3"
"62k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R16,R17,R14,R12,R5,R15"
"10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C23,C24"
"STM32F411RETx","LQFP-64_10x10mm_P0.5mm","U3","C94355"
"74AHCT1G125","SOT-23-5","U2"
"8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","Y1","C389817"
"1k","R_0805_2012Metric","R4"
"2N3904","SOT-23","Q4","C411758"
"USBLC6-2SC6","SOT-666","U5","C7519"
"330","R_0805_2012Metric","R6","C17630"
