Designator,Mid X,Mid Y,Rotation,Layer
"BUZ1",288.000000,-52.900000,-90.000000,bottom
"C1",266.542500,-31.565000,90.000000,bottom
"C2",215.371751,-34.045000,-90.000000,bottom
"C3",215.571751,-30.905000,0.000000,bottom
"C8",269.071751,-27.500000,90.000000,bottom
"C10",218.457500,-35.110000,180.000000,bottom
"C11",218.450000,-33.040000,180.000000,bottom
"C12",212.841751,-34.050000,-90.000000,bottom
"C13",272.511751,-27.572500,0.000000,bottom
"C14",272.449251,-25.522500,0.000000,bottom
"C15",268.942500,-31.602500,90.000000,bottom
"C16",289.665000,-76.990000,0.000000,bottom
"C17",205.500000,-28.000000,180.000000,bottom
"C18",205.600000,-30.450000,180.000000,bottom
"C19",247.174251,-21.172500,180.000000,bottom
"C20",251.664251,-24.667500,180.000000,bottom
"C21",282.300000,-43.700000,90.000000,bottom
"C22",229.000000,-35.250000,90.000000,bottom
"C23",245.311751,-24.877500,90.000000,bottom
"C24",247.531751,-24.895000,90.000000,bottom
"D1",34.751250,-98.815000,-90.000000,bottom
"D2",113.332500,-117.865000,-90.000000,bottom
"D6",165.720000,-117.865000,-90.000000,bottom
"D7",184.770000,-117.865000,-90.000000,bottom
"D8",222.870000,-117.865000,-90.000000,bottom
"D12",279.150000,-60.940000,-90.000000,bottom
"D16",357.660000,-49.310000,-90.000000,bottom
"D19",22.845000,-41.665000,-90.000000,bottom
"D20",41.895000,-41.665000,-90.000000,bottom
"D21",60.945000,-41.665000,-90.000000,bottom
"D22",79.995000,-43.665000,-90.000000,bottom
"D23",99.045000,-43.665000,-90.000000,bottom
"D24",118.095000,-43.665000,-90.000000,bottom
"D25",137.145000,-43.665000,-90.000000,bottom
"D26",156.195000,-43.665000,-90.000000,bottom
"D27",175.245000,-43.665000,-90.000000,bottom
"D28",194.295000,-43.665000,-90.000000,bottom
"D29",200.030000,-38.450000,-90.000000,bottom
"D30",232.395000,-43.665000,-90.000000,bottom
"D31",251.445000,-43.665000,-90.000000,bottom
"D32",275.257500,-43.665000,-90.000000,bottom
"D33",318.120000,-43.665000,-90.000000,bottom
"D34",337.170000,-43.665000,-90.000000,bottom
"D35",356.220000,-43.665000,-90.000000,bottom
"D36",357.560000,-68.580000,-90.000000,bottom
"D39",27.607500,-60.715000,-90.000000,bottom
"D40",51.420000,-60.715000,-90.000000,bottom
"D41",70.470000,-60.715000,-90.000000,bottom
"D42",89.520000,-60.715000,-90.000000,bottom
"D43",108.570000,-60.715000,-90.000000,bottom
"D44",127.620000,-60.715000,-90.000000,bottom
"D45",146.670000,-60.715000,-90.000000,bottom
"D46",165.720000,-60.715000,-90.000000,bottom
"D47",184.770000,-60.715000,-90.000000,bottom
"D48",203.820000,-60.715000,-90.000000,bottom
"D49",222.870000,-60.715000,-90.000000,bottom
"D50",241.920000,-60.715000,-90.000000,bottom
