Designator,Mid X,Mid Y,Rotation,Layer
"LED1",292.690000,-123.440000,90.000000,top
"LED2",292.690000,-103.440000,90.000000,top
"LED3",292.690000,-83.440000,90.000000,top
"SW_0_1",203.820000,-48.665000,0.000000,top
"SW_1_1",32.370000,-48.665000,0.000000,top
"SW_2_1",51.420000,-48.665000,0.000000,top
"SW_3_1",70.470000,-48.665000,0.000000,top
"SW_4_1",89.520000,-48.665000,0.000000,top
"SW_5_1",108.570000,-48.665000,0.000000,top
"SW_6_1",127.620000,-48.665000,0.000000,top
"SW_7_1",146.670000,-48.665000,0.000000,top
"SW_8_1",165.720000,-48.665000,0.000000,top
"SW_9_1",184.770000,-48.665000,0.000000,top
"SW_APOS_1",237.157500,-86.765000,0.000000,top
"SW_A_1",46.657500,-86.765000,0.000000,top
"SW_BACKSL_1",270.495000,-67.715000,0.000000,top
"SW_BS_1",265.732500,-48.665000,0.000000,top
"SW_B_1",132.382500,-105.815000,0.000000,top
"SW_CAPS_1",13.320000,-124.865000,0.000000,top
"SW_CAPS_2",37.132500,-105.815000,180.000000,top
"SW_CCTRL_1",20.463750,-86.765000,0.000000,top
"SW_COLON_1",218.107500,-86.765000,0.000000,top
"SW_COMMA_1",189.532500,-105.815000,0.000000,top
"SW_C_1",94.282500,-105.815000,0.000000,top
"SW_D_1",84.757500,-86.765000,0.000000,top
"SW_ENTER_1",263.351250,-86.765000,180.000000,top
"SW_ENTER_2",270.495000,-78.115000,90.000000,top
"SW_ENTER_3",256.207500,-86.765000,0.000000,top
"SW_EQ_1",241.920000,-48.665000,0.000000,top
"SW_ESC_1",13.320000,-48.665000,0.000000,top
"SW_E_1",79.995000,-67.715000,0.000000,top
"SW_F_1",103.807500,-86.765000,0.000000,top
"SW_G_1",122.857500,-86.765000,0.000000,top
"SW_H_1",141.907500,-86.765000,0.000000,top
"SW_I_1",175.245000,-67.715000,0.000000,top
"SW_J_1",160.957500,-86.765000,0.000000,top
"SW_KP0X_1",327.645000,-124.865000,0.000000,top
"SW_KP0_1",308.595000,-124.865000,0.000000,top
"SW_KP0_2",317.120000,-124.865000,180.000000,top
"SW_KP1_1",308.595000,-105.815000,0.000000,top
"SW_KP2_1",327.645000,-105.815000,0.000000,top
"SW_KP3_1",346.695000,-105.815000,0.000000,top
"SW_KP4_1",308.595000,-86.765000,0.000000,top
"SW_KP5_1",327.645000,-86.765000,0.000000,top
"SW_KP6_1",346.695000,-86.765000,0.000000,top
"SW_KP7_1",308.595000,-67.715000,0.000000,top
"SW_KP8_1",327.645000,-67.715000,0.000000,top
"SW_KP9_1",346.695000,-67.715000,0.000000,top
"SW_KPCLR_1",308.595000,-48.665000,0.000000,top
"SW_KPDIV_1",346.695000,-48.665000,0.000000,top
"SW_KPENTX_1",365.745000,-105.815000,0.000000,top
"SW_KPENT_1",365.745000,-124.865000,0.000000,top
"SW_KPENT_2",365.745000,-115.340000,90.000000,top
"SW_KPEQ_1",327.645000,-48.665000,0.000000,top
"SW_KPMINUS_1",365.745000,-86.765000,0.000000,top
"SW_KPMULT_1",365.745000,-48.665000,0.000000,top
"SW_KPPER_1",346.695000,-124.865000,0.000000,top
"SW_KPPLUS_1",365.745000,-67.715000,0.000000,top
"SW_K_1",180.007500,-86.765000,0.000000,top
"SW_LALT_1",84.757500,-124.865000,0.000000,top
"SW_LALT_2",70.470000,-124.865000,180.000000,top
"SW_LALT_3",72.851250,-124.865000,180.000000,top
"SW_LBRC_1",232.395000,-67.715000,0.000000,top
"SW_LCTRL_1",18.082500,-124.865000,180.000000,top
"SW_LCTRL_2",32.370000,-124.865000,0.000000,top
"SW_LCTRL_3",15.701250,-124.865000,180.000000,top
"SW_LGUI_1",58.563750,-124.865000,0.000000,top
"SW_LGUI_2",44.276250,-124.865000,180.000000,top
"SW_LGUI_3",41.895000,-124.865000,180.000000,top
"SW_LSH_1",25.226250,-105.815000,0.000000,top
"SW_LSH_2",15.701250,-105.815000,180.000000,top
"SW_L_1",199.057500,-86.765000,0.000000,top
"SW_MINUS_1",222.870000,-48.665000,0.000000,top
"SW_M_1",170.482500,-105.815000,0.000000,top
"SW_N_1",151.432500,-105.815000,0.000000,top
"SW_O_1",194.295000,-67.715000,0.000000,top
"SW_PER_1",208.582500,-105.815000,0.000000,top
"SW_POW_1",119.220000,-25.665000,90.000000,top
"SW_P_1",213.345000,-67.715000,0.000000,top
"SW_Q_1",41.895000,-67.715000,0.000000,top
"SW_RALT_1",175.245000,-124.865000,0.000000,top
"SW_RALT_2",203.820000,-124.865000,0.000000,top
"SW_RALT_3",206.201250,-124.865000,180.000000,top
"SW_RBRC_1",251.445000,-67.715000,0.000000,top
"SW_RCTRL_1",213.345000,-124.865000,0.000000,top
"SW_RCTRL_2",256.207500,-124.865000,180.000000,top
"SW_RGUI_1",194.295000,-124.865000,0.000000,top
"SW_RGUI_2",230.013750,-124.865000,180.000000,top
"SW_RSH_1",258.588750,-105.815000,0.000000,top
"SW_RSH_2",249.063750,-105.815000,180.000000,top
"SW_RSUP1_1",232.395000,-124.865000,0.000000,top
"SW_RSUP2_1",251.445000,-124.865000,0.000000,top
"SW_RSUP3_1",270.495000,-124.865000,0.000000,top
"SW_R_1",99.045000,-67.715000,0.000000,top
"SW_SLASH_1",227.632500,-105.815000,0.000000,top
"SW_SP1_1",103.807500,-124.865000,0.000000,top
"SW_SP2_1",130.001250,-124.865000,0.000000,top
"SW_SP2_2",137.145000,-124.865000,180.000000,top
"SW_SP2_3",139.526250,-124.865000,180.000000,top
"SW_SP3_1",156.195000,-124.865000,0.000000,top
"SW_S_1",65.707500,-86.765000,0.000000,top
"SW_TAB_1",18.082500,-67.715000,0.000000,top
"SW_T_1",118.095000,-67.715000,0.000000,top
"SW_UPX_2",270.495000,-105.815000,180.000000,top
"SW_U_1",156.195000,-67.715000,0.000000,top
"SW_V_1",113.332500,-105.815000,0.000000,top
"SW_W_1",60.945000,-67.715000,0.000000,top
"SW_X_1",75.232500,-105.815000,0.000000,top
"SW_Y_1",137.145000,-67.715000,0.000000,top
"SW_Z_1",56.182500,-105.815000,0.000000,top
