Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",288.000000,-52.900000,-90.000000,bottom
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",266.542500,-31.565000,90.000000,bottom
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",214.250000,-34.045000,-90.000000,bottom
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",215.571751,-30.905000,0.000000,bottom
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",270.000000,-27.500000,90.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",217.295000,-35.320000,180.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",217.287500,-33.250000,180.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",212.220000,-34.050000,-90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.000000,-27.750000,0.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",272.937500,-25.700000,0.000000,bottom
"C15","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",268.942500,-31.602500,90.000000,bottom
"C16","0.1uF","C_0805_2012Metric",286.750000,-104.450000,90.000000,bottom
"C17","0.1uF","C_0805_2012Metric",286.750000,-86.800000,90.000000,bottom
"C18","0.1uF","C_0805_2012Metric",297.500000,-69.550000,90.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",247.174251,-21.172500,180.000000,bottom
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",251.664251,-24.667500,180.000000,bottom
"C21","0.1uF","C_0805_2012Metric",282.300000,-43.700000,90.000000,bottom
"C22","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",229.250000,-37.000000,180.000000,bottom
"C23","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",245.311751,-24.877500,90.000000,bottom
"C24","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",247.531751,-24.895000,90.000000,bottom
"C25","0.1uF","C_0805_2012Metric",286.500000,-122.500000,90.000000,bottom
"D1","D_Small","D_SOD-123",34.751250,-98.815000,-90.000000,bottom
"D2","D_Small","D_SOD-123",113.332500,-117.865000,-90.000000,bottom
"D6","D_Small","D_SOD-123",165.720000,-117.865000,-90.000000,bottom
"D7","D_Small","D_SOD-123",184.770000,-117.865000,-90.000000,bottom
"D8","D_Small","D_SOD-123",222.870000,-117.865000,-90.000000,bottom
"D12","D_Small","D_SOD-123",279.150000,-60.940000,-90.000000,bottom
"D16","D_Small","D_SOD-123",357.660000,-49.310000,-90.000000,bottom
"D19","D_Small","D_SOD-123",22.845000,-41.665000,-90.000000,bottom
"D20","D_Small","D_SOD-123",41.895000,-41.665000,-90.000000,bottom
"D21","D_Small","D_SOD-123",60.945000,-41.665000,-90.000000,bottom
"D22","D_Small","D_SOD-123",79.995000,-43.665000,-90.000000,bottom
"D23","D_Small","D_SOD-123",99.045000,-43.665000,-90.000000,bottom
"D24","D_Small","D_SOD-123",118.095000,-43.665000,-90.000000,bottom
"D25","D_Small","D_SOD-123",137.145000,-43.665000,-90.000000,bottom
"D26","D_Small","D_SOD-123",156.195000,-43.665000,-90.000000,bottom
"D27","D_Small","D_SOD-123",175.245000,-43.665000,-90.000000,bottom
"D28","D_Small","D_SOD-123",194.295000,-43.665000,-90.000000,bottom
"D29","D_Small","D_SOD-123",200.030000,-38.450000,-90.000000,bottom
"D30","D_Small","D_SOD-123",232.395000,-43.665000,-90.000000,bottom
"D31","D_Small","D_SOD-123",251.445000,-43.665000,-90.000000,bottom
"D32","D_Small","D_SOD-123",275.257500,-43.665000,-90.000000,bottom
"D33","D_Small","D_SOD-123",318.120000,-43.665000,-90.000000,bottom
"D34","D_Small","D_SOD-123",337.170000,-43.665000,-90.000000,bottom
"D35","D_Small","D_SOD-123",356.220000,-43.665000,-90.000000,bottom
"D36","D_Small","D_SOD-123",357.560000,-68.580000,-90.000000,bottom
"D39","D_Small","D_SOD-123",27.607500,-60.715000,-90.000000,bottom
"D40","D_Small","D_SOD-123",51.420000,-60.715000,-90.000000,bottom
"D41","D_Small","D_SOD-123",70.470000,-60.715000,-90.000000,bottom
"D42","D_Small","D_SOD-123",89.520000,-60.715000,-90.000000,bottom
"D43","D_Small","D_SOD-123",108.570000,-60.715000,-90.000000,bottom
"D44","D_Small","D_SOD-123",127.620000,-60.715000,-90.000000,bottom
"D45","D_Small","D_SOD-123",146.670000,-60.715000,-90.000000,bottom
"D46","D_Small","D_SOD-123",165.720000,-60.715000,-90.000000,bottom
"D47","D_Small","D_SOD-123",184.770000,-60.715000,-90.000000,bottom
"D48","D_Small","D_SOD-123",203.820000,-60.715000,-90.000000,bottom
"D49","D_Small","D_SOD-123",222.870000,-60.715000,-90.000000,bottom
"D50","D_Small","D_SOD-123",241.920000,-60.715000,-90.000000,bottom
"D51","D_Small","D_SOD-123",260.970000,-60.715000,-90.000000,bottom
"D52","D_Small","D_SOD-123",318.120000,-62.715000,-90.000000,bottom
"D53","D_Small","D_SOD-123",356.220000,-62.715000,-90.000000,bottom
"D54","D_Small","D_SOD-123",356.220000,-79.765000,-90.000000,bottom
"D55","D_Small","D_SOD-123",357.590000,-87.650000,-90.000000,bottom
"D57","D_Small","D_SOD-123",29.988750,-79.765000,-90.000000,bottom
"D59","D_Small","D_SOD-123",56.182500,-79.765000,-90.000000,bottom
"D60","D_Small","D_SOD-123",75.232500,-79.765000,-90.000000,bottom
"D61","D_Small","D_SOD-123",94.282500,-79.765000,-90.000000,bottom
"D62","D_Small","D_SOD-123",113.332500,-79.765000,-90.000000,bottom
"D63","D_Small","D_SOD-123",132.382500,-79.765000,-90.000000,bottom
"D64","D_Small","D_SOD-123",151.432500,-79.765000,-90.000000,bottom
"D65","D_Small","D_SOD-123",170.482500,-79.765000,-90.000000,bottom
"D66","D_Small","D_SOD-123",189.532500,-79.765000,-90.000000,bottom
"D67","D_Small","D_SOD-123",208.582500,-79.765000,-90.000000,bottom
"D68","D_Small","D_SOD-123",227.632500,-79.765000,-90.000000,bottom
"D69","D_Small","D_SOD-123",246.682500,-79.765000,-90.000000,bottom
"D70","D_Small","D_SOD-123",273.100000,-93.150000,-90.000000,bottom
"D72","D_Small","D_SOD-123",318.120000,-79.765000,-90.000000,bottom
"D73","D_Small","D_SOD-123",337.170000,-79.765000,-90.000000,bottom
"D74","D_Small","D_SOD-123",356.220000,-98.815000,-90.000000,bottom
"D75","D_Small","D_SOD-123",356.940000,-107.070000,-90.000000,bottom
"D78","D_Small","D_SOD-123",65.707500,-98.815000,-90.000000,bottom
"D79","D_Small","D_SOD-123",84.757500,-98.815000,-90.000000,bottom
"D80","D_Small","D_SOD-123",103.807500,-98.815000,-90.000000,bottom
"D81","D_Small","D_SOD-123",122.857500,-98.815000,-90.000000,bottom
"D82","D_Small","D_SOD-123",128.650000,-22.930000,-90.000000,bottom
"D83","D_Small","D_SOD-123",160.957500,-98.815000,-90.000000,bottom
"D84","D_Small","D_SOD-123",180.007500,-98.815000,-90.000000,bottom
"D85","D_Small","D_SOD-123",199.057500,-98.815000,-90.000000,bottom
"D86","D_Small","D_SOD-123",218.107500,-98.815000,-90.000000,bottom
"D87","D_Small","D_SOD-123",237.157500,-98.815000,-90.000000,bottom
"D88","D_Small","D_SOD-123",268.113750,-98.815000,-90.000000,bottom
"D89","D_Small","D_SOD-123",262.000000,-111.150000,-90.000000,bottom
"D91","D_Small","D_SOD-123",318.120000,-98.815000,-90.000000,bottom
"D92","D_Small","D_SOD-123",337.170000,-98.815000,-90.000000,bottom
"D93","D_Small","D_SOD-123",371.200000,-115.170000,-90.000000,bottom
"D96","D_Small","D_SOD-123",42.750000,-116.250000,-90.000000,bottom
"D97","D_Small","D_SOD-123",68.000000,-116.500000,-90.000000,bottom
"D98","D_Small","D_SOD-123",94.282500,-117.865000,-90.000000,bottom
"D99","D_Small","D_SOD-123",140.500000,-116.250000,-90.000000,bottom
"D100","D_Small","D_SOD-123",203.820000,-117.865000,-90.000000,bottom
"D101","D_Small","D_SOD-123",241.920000,-117.865000,-90.000000,bottom
"D102","D_Small","D_SOD-123",260.970000,-117.865000,-90.000000,bottom
"D103","D_Small","D_SOD-123",337.170000,-117.865000,-90.000000,bottom
"D104","D_Small","D_SOD-123",22.845000,-117.865000,-90.000000,bottom
"D105","D_Small","D_SOD-123",141.907500,-98.815000,-90.000000,bottom
"D106","D_Small","D_SOD-123",280.020000,-117.865000,-90.000000,bottom
"D107","D_Small","D_SOD-123",300.750000,-115.750000,-90.000000,bottom
"D108","D_Small","D_SOD-123",356.220000,-117.865000,-90.000000,bottom
"D109","D_Small","D_SOD-123",337.170000,-62.715000,-90.000000,bottom
"FB1","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",211.061751,-24.687500,0.000000,bottom
"J2","Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",102.125000,-24.000000,90.000000,bottom
"J3","Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",280.625000,-24.000000,-90.000000,bottom
"Q1","Q_PMOS_GSD AO3401A","SOT-23",255.924251,-22.437500,180.000000,bottom
"Q2","Q_NMOS_GSD 2N7002","SOT-23",258.774251,-29.872500,180.000000,bottom
"Q3","Q_NMOS_GSD 2N7002","SOT-23",251.734251,-21.687500,180.000000,bottom
"Q4","2N3904","SOT-23",280.950000,-52.937500,-90.000000,bottom
"R2","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",263.072500,-31.507500,-90.000000,bottom
"R3","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",251.676751,-26.907500,0.000000,bottom
"R4","1k","R_0805_2012Metric",280.250000,-48.337500,90.000000,bottom
"R5","62k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",241.961751,-20.972500,0.000000,bottom
"R6","330","R_0805_2012Metric",286.415000,-67.295000,180.000000,bottom
"R8","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",254.250000,-30.897500,180.000000,bottom
"R9","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",257.661751,-27.022500,0.000000,bottom
"R10","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",246.750000,-33.975000,-90.000000,bottom
"R11","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",250.450000,-30.897500,0.000000,bottom
"R12","62k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",220.686751,-26.822500,90.000000,bottom
"R14","62k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",218.661751,-26.797500,90.000000,bottom
