Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","WS2812B","WS2812BDual",292.690000,-123.440000,90.000000,top
"LED2","WS2812B","WS2812BDual",292.690000,-103.440000,90.000000,top
"LED3","WS2812B","WS2812BDual",292.690000,-83.440000,90.000000,top
"SW_0_1","mx-alps-nec","ALPS-1U",203.820000,-48.665000,0.000000,top
"SW_1_1","mx-alps-nec","ALPS-1U",32.370000,-48.665000,0.000000,top
"SW_2_1","mx-alps-nec","ALPS-1U",51.420000,-48.665000,0.000000,top
"SW_3_1","mx-alps-nec","ALPS-1U",70.470000,-48.665000,0.000000,top
"SW_4_1","mx-alps-nec","ALPS-1U",89.520000,-48.665000,0.000000,top
"SW_5_1","mx-alps-nec","ALPS-1U",108.570000,-48.665000,0.000000,top
"SW_6_1","mx-alps-nec","ALPS-1U",127.620000,-48.665000,0.000000,top
"SW_7_1","mx-alps-nec","ALPS-1U",146.670000,-48.665000,0.000000,top
"SW_8_1","mx-alps-nec","ALPS-1U",165.720000,-48.665000,0.000000,top
"SW_9_1","mx-alps-nec","ALPS-1U",184.770000,-48.665000,0.000000,top
"SW_APOS_1","mx-alps-nec","ALPS-1U",237.157500,-86.765000,0.000000,top
"SW_A_1","mx-alps-nec","ALPS-1U",46.657500,-86.765000,0.000000,top
"SW_BACKSL_1","mx-alps-nec","ALPS-1U",270.495000,-67.715000,0.000000,top
"SW_BS_1","mx-alps-nec","ALPS-1U",265.732500,-48.665000,0.000000,top
"SW_B_1","mx-alps-nec","ALPS-1U",132.382500,-105.815000,0.000000,top
"SW_CAPS_1","mx-alps-nec","ALPS-1U",13.320000,-124.865000,0.000000,top
"SW_CAPS_2","mx-alps-nec","ALPS-1U",37.132500,-105.815000,180.000000,top
"SW_CCTRL_1","mx-alps-nec","ALPS-1U",20.463750,-86.765000,0.000000,top
"SW_COLON_1","mx-alps-nec","ALPS-1U",218.107500,-86.765000,0.000000,top
"SW_COMMA_1","mx-alps-nec","ALPS-1U",189.532500,-105.815000,0.000000,top
"SW_C_1","mx-alps-nec","ALPS-1U",94.282500,-105.815000,0.000000,top
"SW_D_1","mx-alps-nec","ALPS-1U",84.757500,-86.765000,0.000000,top
"SW_ENTER_1","mx-alps-nec","ALPS-1U",263.351250,-86.765000,180.000000,top
"SW_ENTER_2","mx-alps-nec","ALPS-1U",270.495000,-78.115000,90.000000,top
"SW_ENTER_3","mx-alps-nec","ALPS-1U",256.207500,-86.765000,0.000000,top
"SW_EQ_1","mx-alps-nec","ALPS-1U",241.920000,-48.665000,0.000000,top
"SW_ESC_1","mx-alps-nec","ALPS-1U",13.320000,-48.665000,0.000000,top
"SW_E_1","mx-alps-nec","ALPS-1U",79.995000,-67.715000,0.000000,top
"SW_F_1","mx-alps-nec","ALPS-1U",103.807500,-86.765000,0.000000,top
"SW_G_1","mx-alps-nec","ALPS-1U",122.857500,-86.765000,0.000000,top
"SW_H_1","mx-alps-nec","ALPS-1U",141.907500,-86.765000,0.000000,top
"SW_I_1","mx-alps-nec","ALPS-1U",175.245000,-67.715000,0.000000,top
"SW_J_1","mx-alps-nec","ALPS-1U",160.957500,-86.765000,0.000000,top
